Policy code,Policy,Expert Category
B255_6,"On April 18, 2019, Special Counsel Robert Mueller released a report titled ``Report on the Investigation into Russian Interference in the 2016 Presidential Election'', which concluded that ``the Russian government interfered in the 2016 presidential election in sweeping and systematic fashion.''. The report details that Russia interfered in the 2016 presidential election principally through two operations: first, through a Russian government sponsored social media influence campaign,",Channels
B255_7,Russian intelligence ``computer-intrusion'' operations against those associated with both presidential campaigns.,Channels
B255_8,The Mueller Report details how Russian Actorss intentionally targeted black social justice groups and created fake accounts purporting to represent black social justice groups in order to spread disinformation and sow division.,Channels
B255_9,"Social media makes the mass dissemination of misleading information easy and allows perpetrators to target particular audiences with precision. One analysis documented hundreds of messages on Facebook and Twitter designed to discourage or prevent people from voting in the 2018 election. In 2016, these false statements were extremely prevalent with both domestic and foreign actors. Russian operatives engaged in a concerted disinformation and propaganda campaign over the internet that aimed, in part, to suppress voter turnout, especially among Black voters. These efforts by the Russian government continued and became more aggressive in the 2020",Channels
B255-1,"Attorney General shall, pursuant to the written procedures and standards under subsection (b), communicate to the public",Actors
B255-2,"(3) Consultation.--In developing the procedures and standards under paragraph (1), the Attorney General shall consult with the Election Assistance Commission, State and local election officials, civil rights organizations, voting rights groups, voter protection groups, and other interested community organizations.",Actors
B291*3,CFIUS and the President shall carry out a review of a relationship under this subsection in the same manner as a covered transaction is reviewed under section 721 of the Defense Production Act of 1950 (50 U.S.C. 4565),Instrument
B291.1,"Congress makes the following findings: (1) TikTok engages in political censorship, including related to awareness of Uighur Muslim internment camps in China. (2) The U.S. government fined TikTok $5.7 million for illegally collecting children's data. (3) TikTok's Chinese parent company ByteDance has agreed to pay $92 million in a settlement to U.S. users who are part of a class-action lawsuit alleging that the video-sharing app failed to get their consent to collect data in violation of a strict Illinois biometric privacy law. (4) Chinese companies, such as TikTok, have no meaningful ability to tell the Chinese Communist Party ``no'' if officials request user data. (5) The presence of Chinese surveillance in applications such as TikTok raises U.S. national security concerns.",Context
B291.2,"It is the policy of the United States to secure the information and communications technology and services supply chain and to counter the threat posed by mobile applications and software services developed and owned by foreign adversaries, specifically the People's Republic of China and the Chinese Communist Party, which continue to threaten the national security, foreign policy, and economy of the United States.",Context
B291.4,"SEC. 9. REPORT ON NATIONAL SECURITY THREAT OF MOBILE APPLICATIONS UTILIZED BY THE PEOPLE'S REPUBLIC OF CHINA AND CHINESE COMMUNIST PARTY. (a) Reporting Requirement.--Not later than 180 days after the enactment of this Act, and annually thereafter, the Secretary of State and the Attorney General, in consultation with the Director of National Intelligence, shall submit to the appropriate congressional committees a report describing-(1) the scope of efforts by the People's Republic of China and Chinese Communist Party to utilize mobile applications to perform espionage on U.S. citizens, and business and organizations located in the United States; (2) the means and objectives of the People's Republic of China and Chinese Communist Party in utilizing mobile applications to perform espionage and spread disinformation in the United States; and (3) a detailed strategy regarding how the Secretary of State and the Attorney General intend to counter espionage and disinformation efforts conducted by the People's Republic of China and the Chinese Communist Party using mobile applications.",Context
B291/3,"SEC. 7. ENFORCEMENT. (a) Prohibition on Evasion and Circumvention.--Any transaction or other device entered into or employed for the purpose of, or with the effect of, evading or circumventing this Act is prohibited. (b) Injunction.--Whenever it appears to the Attorney General that any person is engaged in, or is about to engage in, any act that constitutes, or would constitute, a violation of this Act, the Attorney General may initiate civil action in a district court of the United States to enjoin such violation. (c) Penalties.-(1) Material misstatement or omission.--Any person who submits a report with a material misstatement or omission or makes a false certification under this Act may be liable to the United States for a civil penalty not to exceed $250,000 per violation. The amount of the penalty imposed for a violation shall be based on the nature of the violation. (2) Violations.-(A) In general.--Any person who fails to comply with the requirements of this Act may be liable to the United States for a civil penalty not to exceed the greater of $250,000 or the value of the transaction. (B) Amount.--The amount of a penalty imposed for a violation shall be based on the nature of the violation. (3) Determination and notice of penalty.--A determination to impose penalties under paragraph (1) or (2) shall be made by CFIUS. Notice of the penalty, including a written explanation of the conduct to be penalized and the amount of the penalty, shall be sent to the subject person electronically and by U.S. mail or courier service. Notice shall be deemed to have been effected by the earlier of the date of electronic transmission and the date of receipt of U.S. mail or courier service. (4) Petition for reconsideration.--Upon receiving notice of a penalty to be imposed under paragraph (1) or (2), the subject person may, within 15 business days of receipt of such notice, submit a petition for reconsideration to the Staff Chairperson",Actors
B291:1,"To require ByteDance to divest itself of certain assets, and to require the Committee on Foreign Investment in the United States to review certain business relationships between ByteDance and United States businesses,",Issue
B291:2,(2) the means and objectives of the People's Republic of China and Chinese Communist Party in utilizing mobile applications to perform espionage and spread disinformation in the United States;,Issue
B291_1,"secure the information and communications technology and services supply chain and to counter the threat posed by mobile applications and software services developed and owned by foreign adversaries, specifically the People's Republic of China and the Chinese Communist Party, which continue to threaten the national security, foreign policy, and economy of the United States.",Channels
B291_2,"Any provision of internet hosting services, occurring after the end of the 45-day period beginning on the date of enactment of this Act, enabling the functioning or optimization of the TikTok mobile application within the land and maritime borders of the United States and its territories.",Channels
B291_3,"Any provision of content delivery network services, occurring after the end of the 45-day period beginning on the date of enactment of this Act, enabling the functioning or optimization of the TikTok mobile application within the land and maritime borders of the United States and its territories.",Channels
B291_4,"Any provision of directly contracted or arranged internet transit or peering services, occurring after the end of the 45-day period beginning on the date of enactment of this Act, enabling the functioning or optimization of the TikTok mobile application within the land and maritime borders of the United States and its territories.",Channels
B291_5,"Reporting Requirement.--Not later than 180 days after the enactment of this Act, and annually thereafter, the Secretary of State and the Attorney General, in consultation with the Director of National Intelligence, shall submit to the appropriate congressional committees a report describing-(1) the scope of efforts by the People's Republic of China and Chinese Communist Party to utilize mobile applications to perform espionage on U.S. citizens, and business and organizations located in the United States; (2) the means and objectives of the People's Republic of China and Chinese Communist Party in utilizing mobile applications to perform espionage and spread disinformation in the United States; and (3) a detailed strategy regarding how the Secretary of State and the Attorney General intend to counter espionage and disinformation efforts conducted by the People's Republic of China and the Chinese Communist Party using mobile applications.",Channels
B291-1,The Attorney General may initiate civil action in a district court of the United States to enjoin such violation.,Actors
B291-2,"(8) Penalties as debt due to the u.s. government.--The imposition of a civil monetary penalty under this subsection creates a debt due to the U.S. Government. The Department of the Treasury may take action to collect the penalty assessed if not paid within the time prescribed by CFIUS and notified to the applicable party or parties. In addition or instead, the matter may be referred to the Department of Justice for appropriate action to recover the penalty.",Actors
B291-3,"SEC. 8. NATIONAL SECURITY REVIEW OF BUSINESS RELATIONSHIPS WITH BYTEDANCE. (a) National Security Investigations.-(1) In general.--CFIUS shall-(A) review the relationship of each covered United States business with ByteDance to determine the effects of such relationship on the national security of the United States; and (B) issue a report to the President containing the findings of such review. (2) Presidential authority.--After reviewing a report issued under paragraph (1) with respect to a relationship, the President may take such action for such time as the President considers appropriate to suspend or prohibit the relationship if the relationship threatens to impair the national security of the United States. (3) Procedures.--To the extent practicable, CFIUS and the President shall carry out a review of a relationship under this subsection in the same manner as a covered transaction is reviewed under section 721 of the Defense Production Act of 1950 (50 U.S.C. 4565).",Actors
B291-4,"SEC. 9. REPORT ON NATIONAL SECURITY THREAT OF MOBILE APPLICATIONS UTILIZED BY THE PEOPLE'S REPUBLIC OF CHINA AND CHINESE COMMUNIST PARTY. (a) Reporting Requirement.--Not later than 180 days after the enactment of this Act, and annually thereafter, the Secretary of State and the Attorney General, in consultation with the Director of National Intelligence, shall submit to the appropriate congressional committees a report describing-(1) the scope of efforts by the People's Republic of China and Chinese Communist Party to utilize mobile applications to perform espionage on U.S. citizens, and business and organizations located in the United States; (2) the means and objectives of the People's Republic of China and Chinese Communist Party in utilizing mobile applications to perform espionage and spread disinformation in the United States; and (3) a detailed strategy regarding how the Secretary of State and the Attorney General intend to counter espionage and disinformation efforts conducted by the People's Republic of China and the Chinese Communist Party using mobile applications.",Actors
B305.1,Mr. Posey introduced the following bill; which was referred to the Committee on the Judiciary,Context
B305/1,"Whoever, being an officer or employee of the Federal Government, knowingly and willfully communicates, furnishes, transmits, publishes, disseminates, or otherwise makes available to the public any false information--",Actors
B305:1,"To amend title 18, United States Code, to prohibit the knowing disclosure of false information to the public to the detriment of the United States or for the purpose of influencing an election for Federal office, a",Issue
B305-1,"SEC. 2. PUBLIC DISCLOSURE OF FALSE INFORMATION. (a) In General.--Chapter 37 of title 18, United States Code, is amended by inserting after section 798A the following: ``Sec. 798B. Public disclosure of false information ``Whoever, being an officer or employee of the Federal Government, knowingly and willfully communicates, furnishes, transmits, publishes, disseminates, or otherwise makes available to the public any false information-- ``(1) in any manner prejudicial to the safety or interest of the United States or for the benefit of any foreign government (as such term is defined in section 798) to the detriment of the United States, except with the approval of the President; or ``(2) for the purpose of influencing an election for Federal office (as such terms are defined in section 301 of the Federal Election Campaign Act of 1971 (52 U.S.C. 30101)), shall be fined under this title or imprisoned not more than ten years, or both.''. (b) Clerical Amendment.--The table of sections for chapter 37 of title 18, United States Code, is amended by inserting after the item related to section 798A the following: ``798B. Public disclosure of false information''.",Actors
B353*2,"Shall be fined under this title, imprisoned for not more than 5 years, or both.",Instrument
B353*3,"Civil penalty of up to $150,000 per record or alteration,",Instrument
B353*4,"(B) $50,000 per record, if the living person or affiliated corporation or entity experienced a perceptible individual harm or faced a tangible risk of experiencing such; ``(C) $100,000 per record, if the living person or affiliated corporation or entity experienced a perceptible individual harm or faced a tangible risk of experiencing such and the record purported to depict extreme or outrageous conduct by the living person; or ``(D) $150,000 per record, if the advanced technological false personation record contains explicit sexual content of a visual nature intended to humiliate or otherwise harass the person falsely depicted as engaging in such sexual acts or in a state of nudity.",Instrument
B353*5,"The Attorney General shall be authorized to grant, and shall establish and publish procedures to govern the issuance of, waivers from any requirements or liabilities under this section to additional categories of advanced technological false personation records upon petition of any producer thereof",Instrument
B353.1,"Ms. Clarke of New York (for herself, Ms. Adams, Ms. Bass, Mr. Butterfield, Mr. Carson, Mr. Cleaver, Mr. Cohen, Mr. DeSaulnier, Mr. Green of Texas, Ms. Jackson Lee, Ms. Johnson of Texas, Ms. Kelly of Illinois, Mr. Krishnamoorthi, Ms. Kuster, Mr. Lawson of Florida, Mr. Malinowski, Mr. McGovern, Ms. Moore of Wisconsin, Ms. Norton, Ms. Plaskett, Mr. Rush, Mr. Thompson of Mississippi, Mrs. Watson Coleman, and Ms. Wilson of Florida) introduced the following bill; which was referred to the Committee on the Judiciary, and in addition to the Committees on Energy and Commerce, and Homeland Security, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned",Context
B353.2,"(c) Plan and Guidance.--On the effective date of this Act, the Attorney General shall publish a report containing-- ``(1) a plan to effectuate and enforce section 1041; ``(2) a description of the efforts of the Russian Federation and the People's Republic of China, and such other states or groups as the Attorney General determines appropriate, to use deep fake technology to impact elections or public policy debates in the United States or other democracies; ``(3) a description of the impact of intimate and sexual deep fakes on women and marginalized communities; and ``(4) in order to increase the likelihood of such prosecutions, official guidance to Federal prosecutors regarding any potential legal concerns that may impede such prosecutions absent clarification.''.",Context
B353/2,"(iv) by a foreign power, or an Actors thereof, with the intent of influencing a domestic public policy debate, interfering in a Federal, State, local, or territorial election, or engaging in other acts which such power may not lawfully undertake;",Actors
B353/3,"(g) Private Right of Action.-``(1) In general.--Any living individual or affiliated corporate or other entity who has been exhibited as engaging in falsified material activity in an advanced technological false personation record may bring a civil action before the appropriate Federal district court for damages under paragraph (2) and injunctive relief under paragraph (3) against a person who violates subsection (a) or alters an advanced technological false personation record to remove or meaningfully obscure the disclosures required under subsection (a). ``(2) Damages.--Damages shall consist of the greater of-``(A) actual damages suffered by the living person or the affiliated corporation or entity, and any additional substantially derivative profits of the person who violated subsection (a) or altered an advanced technological false personation record to remove or meaningfully obscure the disclosures required under subsection (a); ``(B) $50,000 per record, if the living person or affiliated corporation or entity experienced a perceptible individual harm or faced a tangible risk of experiencing such; ``(C) $100,000 per record, if the living person or affiliated corporation or entity experienced a perceptible individual harm or faced a tangible risk of experiencing such and the record purported to depict extreme or outrageous conduct by the living person; or ``(D) $150,000 per record, if the advanced technological false personation record contains explicit sexual content of a visual nature intended to humiliate or otherwise harass the person falsely depicted as",Actors
B353/4,"``(k) Advisory Opinions, Waiver, and Standards.-- ``(1) Advisory opinions.--The Attorney General shall-``(A) establish a process by which any producer of audio, visual, or audiovisual content may seek an advisory opinion regarding the legality of their proposed production under this section; ``(B) respond to such requests for advice not later than 30 days after the date of submission; and ``(C) not pursue enforcement action under this section against any producer who relied in good faith on such an advisory opinion. ``(2) Waiver.--The Attorney General shall be authorized to grant, and shall establish and publish procedures to govern the issuance of, waivers from any requirements or liabilities under this section to additional categories of advanced technological false personation records upon petition of any producer thereof if such producer can demonstrate compliance with this section would impede their ability to engage in otherwise lawful activities protected by the First Amendment of the Constitution.",Actors
B353/5,"(2) a description of the efforts of the Russian Federation and the People's Republic of China, and such other states or groups as the Attorney General determines appropriate, to use deep fake technology to impact elections or public policy debates in the United States or other democracies;",Actors
B353/6,a description of the impact of intimate and sexual deep fakes on women and marginalized communities;,Actors
B353/7,"SEC. 4. IN REM LITIGATION AGAINST FOREIGN AND UNKNOWN DEFENDANTS. (a) In General.--A living person, or an affiliated corporate or other entity substantially connected to such living person, exhibited as engaging in falsified material activity in an advanced technological false personation record, as such term is defined in section 1041 of title 18, United States Code, as added by section 2 of this Act, and subject to parallel exceptions to those enumerated in section 1041(j) of such title, may file an in rem civil action against an advanced technological false personation record, in the judicial district in which such living person or related entity resides, if-(1) the creator of such advanced technological false personation record is in violation of any provision in section 1041 of title 18, United States Code, as added by section 2 of this Act, for which a private remedy is provided; and (2) the court finds that such living person or related entity-(A) is not able to obtain in personam jurisdiction over a person who would have been a defendant in a",Actors
B353:1,produces an advanced technological false personation record,Issue
B353:2,"(i) with the intent to humiliate or otherwise harass the person falsely exhibited, provided the advanced technological false personation record contains sexual content of a visual nature and appears to feature such person engaging",Issue
B353:3,"(ii) with the intent to cause violence or physical harm, incite armed or diplomatic conflict, or interfere in an official proceeding, including an election, provided the advanced technological false personation record did in fact pose a credible threat of instigating or advancing such;",Issue
B353:4,"(iii) in the course of criminal conduct related to fraud, including securities fraud and wire fraud, false personation, or identity theft;",Issue
B353_1,To combat the spread of disinformation through restrictions on deepfake video alteration technology.,Channels
B353_2,"(a) In General.--Chapter 47 of title 18, United States Code, is ``Sec. 1041. Advanced technological false personation record amended by adding at the end the following: ``(a) In General.--Except as provided in subsection (j), any person who, using any means or facility of interstate or foreign commerce, produces an advanced technological false personation record with the intent to distribute such record over the internet or knowledge that such record shall be so distributed, shall ensure such record, complies with--",Channels
B353-1,Any living individual or affiliated corporate or other entity who has been exhibited as engaging in falsified material activity in an advanced technological false personation record may bring a civil action before the appropriate Federal district court for damages,Actors
B353-2,"experiencing such; ``(C) $100,000 per record, if the living person or affiliated corporation or entity experienced a perceptible individual harm or faced a tangible risk of experiencing such and the record purported to depict extreme or outrageous conduct by the living person; or ``(D) $150,000 per record, if the advanced technological false personation record contains explicit sexual content of a visual nature intended to humiliate or otherwise harass the person falsely depicted as",Actors
B353-3,"(h) Privacy Protections.-- ``(1) Federal actions.--In pursuing criminal or civil penalties under this Act, Federal authorities shall, to the extent practicable, consult with living persons exhibited as engaging in falsified material activity in advanced technological false personation records regarding measures such authorities can reasonably undertake to protect their privacy and minimize additional public viewings of such records. ``(2) Private actions.--Private actions brought under subsection (g), upon petition of the plaintiff, shall be permitted to be filed under seal if such plaintiff can demonstrate a reasonable likelihood that the creation of public records regarding the advanced technological false personation record would result in embarrassing or otherwise harmful publicization of the falsified material activity in an advanced technological false personation record.",Actors
B353-5,if such producer can demonstrate compliance with this section would impede their ability to engage in otherwise lawful activities protected by the First Amendment of the Constitution.,Actors
B353-6,"SEC. 7. DETECTION OF DEEP FAKES. (a) Establishment of Task Force.--The Secretary of Homeland Security, in coordination with the heads of other relevant Federal elements, shall establish a task force within the Science and Technology Directorate, hereinafter referred to as the Deep Fakes Task Force, to-- (1) advance efforts of the United States Government to combat the national security implications of deep fakes; (2) as appropriate, research and develop technologies to detect, or otherwise counter and combat, deep fakes and other advanced image manipulation methods and distinguish such deep fakes or related forgeries from legitimate audiovisual recordings or visual depictions of actual events; (3) provide support, both administrative and scientific, to other Federal elements researching such technologies; (4) encourage efforts of the United States Government to adopt such technology; and (5) facilitate discussion and appropriate cooperation between the United States Government and relevant private sector technology enterprises or other nongovernmental entities, including academic and research institutions, regarding the identification of deep fakes or other advanced image manipulation methods.",Actors
B353-7,"(b) Private Sector Collaboration.--In the event the United States Government develops technology to reliably detect deep fakes and distinguish such from legitimate audiovisual recordings or visual depictions of actual events, the President shall, unless he determines such is contrary to the national interests of the United States, endeavor to make such technology available to appropriate United States private sector internet platforms, including social networks.",Actors
B353-8,"SEC. 8. CONGRESSIONAL NOTIFICATION. The Secretary of Homeland Security, on no less than an annual basis, shall provide the Committee on Homeland Security of the House of Representatives and the Committee on Homeland Security and Governmental Affairs of the Senate with a classified written notification and, upon request, a briefing regarding any known attempts of foreign states to use deep fake technology to influence or otherwise interfere in an official proceeding within the United States, including an election.",Actors
B381*1,Conduct a study on the current understanding of the spread of COVID-19-related disinformation and misinformation on the internet and social media platforms.,Instrument
B381.1,"Ms. Hirono (for herself, Mr. Booker, Mr. Blumenthal, Ms. Klobuchar, Mr. Reed, and Ms. Warren) introduced the following bill; which was read twice and referred to the Committee on Health, Education, Labor, and Pensions",Context
B381.2,COVID-19 Disinformation Research and Reporting Act of 2021'',Context
B381.5,SEC. 3. SCIENCE STUDY ON COVID-19-RELATED DISINFORMATION AND MISINFORMATION.,Context
B381/1,"the sources, both foreign and domestic, of COVID-19- related disinformation and misinformation,",Actors
B381/2,the role social media plays in the dissemination and promotion of COVID-19-related disinformation and misinformation content,Actors
B381:1,"To conduct a study on the spread of COVID-19-related disinformation and misinformation on the internet and social media platforms, and for other purposes.",Issue
B381:2,spread of COVID-19-related disinformation and misinformation on the internet and social media platforms,Issue
B381_1,"(4) The internet and social media have made it easier to spread fake medical information, such as unproven treatments for COVID-19, or inaccurate information that undermines scientific experts. (5) The internet and social media have likewise made it easier to spread disinformation and misinformation about the safety and efficacy of COVID-19 vaccines, impacting public acceptance of the vaccines and threatening to prolong the pandemic",Channels
B381_2,"(6) COVID-19-related disinformation has been weaponized by foreign adversaries, including Russia, China, and Iran, through the use of fake social media accounts and bot networks to amplify content.",Channels
B381_3,the role social media plays in the dissemination and promotion of COVID-19-related disinformation and misinformation content and the role social media platforms play in the organization of groups seeking to spread COVID-19-related disinformation and misinformation;,Channels
B381_4,"(5) potential strategies to mitigate the dissemination and negative impacts of COVID-19-related disinformation and misinformation (and specifically the dissemination of disinformation and misinformation on social media), including through improved disclosures and addressing information literacy",Channels
B381-1,"The Director of the National Science Foundation shall enter into an arrangement with the National Academies of Sciences, Engineering, and Medicine to conduct a study on the current understanding of the spread of COVID-19-related disinformation and misinformation on the internet and social media platforms.",Actors
B438*1,The authority granted to the 3 President by this section does include the authority to regulate or prohibit the provision by a provider of a social 5 media platform of a covered service to,Instrument
B438.1,"Mr. BARR (for himself, Mr. BANKS, Mr. WILSON of South Carolina, Mr. WALTZ, Mr. MOONEY, Mr. RESCHENTHALER, Mr. POSEY, Mr. STEUBE, Mr. DESJARLAIS, Mr. MURPHY of North Carolina, Mr. KELLY of Mississippi, Mr. BAIRD, Mr. LAMBORN, Mr. TURNER, Mr. JACKSON, Mr. KELLER, Mr. CARL, Mr. ROSE, Mr. TIFFANY, Mrs. MCCLAIN, Mr. BABIN, Mr. STEIL, Mr. BOST, Mr. JOHNSON of Louisiana, Mrs. HARTZLER, Mr. JACOBS of New York, Mrs. LESKO, Mr. LOUDERMILK, Mr. DUNN, Mr. NORMAN, Mr. CLYDE, Mr. CAWTHORN, Mr. ROUZER, Mr. MCKINLEY, Ms. TENNEY, Mr. PFLUGER, Mr. MANN, Mr. STAUBER, Mr. BUDD, Mrs. CAMMACK, Mr. ROY, Mr. GOODEN of Texas, and Mr. LAMALFA) introduced the following bill; which was referred to the Committee on Foreign Affairs",Context
B438.2,"the Supreme Leader of Iran, Ayatollah Ali Khamanei, a Specially Designated Global Terrorist by the Department of the Treasury, and the leader of the worlds leading State Sponsor of Terrorism, has multiple social media accounts on Twitter and Instagram. The Supreme Leader has used his accounts to threaten violence against Americans, support the destruction of the State of Israel, promote conspiracy theories and disinformation regarding COVID“19 vaccines, and incite anti-Semitism on a number of occasions.",Context
B438/1,prohibit the provision of services by social media platforms to certain individuals and entities on the Specially Designated Nationals List and senior officials of governments of a state sponsor of terrorism.,Actors
B438/2,"is on the list of specially designated nationals and blocked persons maintained by the Office of Foreign Assets Control of the Department of the Treasury,",Actors
B438/3,"an individual who is a senior official of a government of a state sponsor of terrorism,",Actors
B438/4,"(1) the Department of the Treasury and the Department of State should encourage the free flow of information in Iran, Syria, North Korea, Cuba, and other countries controlled by authoritarian regimes in order to counter such regimes repression of their peoples; and (2) in order to facilitate the free flow of information in such countries, in implementing this Act and the amendments made by this Act, the Department of Treasury should ensure that consumer communication technologies, as well as tools to circumvent government censorship, are available to civil society and democratic activists in such countries.",Actors
B438_1,"The Supreme Leader has used his accounts to threaten violence against Americans, support the destruction of the State of Israel, promote conspiracy theories and disinformation regarding COVID“19 vaccines, and incite anti-Semitism on a number of occasions",Channels
B438-1,"the Secretary of the Treasury, in consultation with the Secretary of State,",Actors
B464*2,(B) Inadmissibility of certain individuals.-(i,Instrument
B464*3,"(2) Penalties.--A person that violates, attempts to violate, conspires to violate, or causes a violation of any regulation, license, or order issued to carry out paragraph (1)(A) shall be subject to the penalties set forth in subsections (b) and (c) of section 206 of the International Emergency Economic Powers Act (50 U.S.C. 1705) to the same extent as a person that commits an unlawful act described in subsection (a) of that section.",Instrument
B464.1,Mr. Cotton introduced the following bill; which was read twice and referred to the Committee on Foreign Relations,Context
B464.2,"(5) The United Front Work Department is involved in espionage campaigns, political warfare efforts, malign disinformation, utilizing the Chinese diaspora abroad, and infiltration of educational institutions all with the goal of softening opposition to the Chinese Communist Party and its policies throughout the world. (6) The United Front Work Department played a seminal role in coordinating multifaceted disinformation campaigns to blame the United States for the spread of the Coronavirus Disease 2019 (commonly referred to as ``COVID-19'') pandemic and coverup the People's Republic of China's negligent response to the pandemic. (7) An investigation by ProPublica released on March 26, 2020, found that the United Front Work Department was connected to a network of fake and hijacked Twitter accounts that were covertly spreading Chinese Government propaganda about COVID-19 to global audiences. (8) The United Front Work Department utilized Chinese diaspora community associations under its control to purchase personal protective equipment as the COVID-19 outbreak troubled China from mid-January 2020 on. (9) In February 2020, The Global Times, a site run by the Chinese Communist Party's People's Daily newspaper, alleged that COVID-19 was brought to the People's Republic of China from a United States military base during the World Games.",Context
B464.3,"(11) The United Front Work Department has played an integral role in the People's Republic of China's war on religion by leading efforts to publish a new edition of the Bible with Chinese Communist characteristics, actively running internment camps and carrying out anti-religion campaigns against Uyghur Muslims in Xinjiang and severe religious repression of Buddhists in Tibet.",Context
B464.4,"(a) Imposition of Sanctions.--The President shall impose the sanctions described in subsection (b) with respect to any foreign person that the President determines knowingly commits a significant act of malign disinformation on behalf of the government of a foreign country or foreign political party that has the direct purpose or effect of influencing political, diplomatic, or educational activities in the United States for the purpose of harming-(1) the national security or defense of the United States; or (2) the safety and security of any United States citizen or alien lawfully admitted for permanent residence. (b) Sanctions Described.-(1) In general.--The sanctions described in this subsection with respect to a foreign person determined by the President to be subject to subsection (a) are the following: (A) Asset blocking.--The President shall exercise of all powers granted to the President by the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) to the extent necessary to block and prohibit all transactions in property and interests in property of the foreign person if such property and interests in property are in the United States, come within the United States, or are or come within the possession or control of a United States person. (B) Inadmissibility of certain individuals.-(i)",Context
B464.5,"(a) In General.--Not later than 90 days after the date of the enactment of this Act, the Secretary of State shall submit to the appropriate congressional committees a determination, including a detailed justification, on whether the United Front Work Department of the Chinese Communist Party, or any component or official thereof, meets the criteria for the application of sanctions pursuant to-(1)",Context
B464:1,To impose sanctions with respect to foreign persons that knowingly spread malign disinformation as part of or on behalf of a foreign government or political party for purposes of political warfare and to require a determination regarding the United Front Work Department of the Chinese Communist Party.,Issue
B464-1,"(e) Regulatory Authority.-(1) In general.--Not later than 90 days after the date of the enactment of this Act, the President shall promulgate such regulations as are necessary for the implementation of this section. (2) Notification to congress.--Not less than 10 days before the promulgation of regulations under paragraph (1), the President shall notify and provide to the appropriate congressional committees the proposed regulations and an identification of the provisions of this section that the regulations are implementing.",Actors
B464-2,"The Secretary of State shall submit to the appropriate congressional committees a determination, including a detailed justification, on whether the United Front Work Department of the Chinese Communist Party, or any component or official thereof, meets the criteria for the application of sanctions pursuant to-(1)",Actors
B482.1,"Ms. Velazquez (for herself, Ms. Meng, Mr. Cohen, Mr. San Nicolas, Mr. Sires, Mr. Evans, Mr. Espaillat, Mr. Hastings, Mrs. Hayes, Mr. Jones, Mr. Nadler, Mr. Torres of New York, Mrs. Watson Coleman, Ms. Wilson of Florida, Ms. Strickland, Ms. Scanlon, Ms. Clarke of New York, Ms. Bourdeaux, Mrs. Carolyn B. Maloney of New York, and Mr. Carbajal) introduced the following bill; which was referred to the Committee on Energy and Commerce",Context
B482/1,"award targeted grants to State, Tribal, Territorial, and local health departments or nonprofit organizations in geographic locations with racial and ethnic minorities and other vulnerable populations disproportionately impacted by COVID-19",Actors
B482/2,"(8) address COVID-19 vaccine misinformation; (9) address side effects after COVID-19 vaccination; (10) share information on the processes and policies that lead to vaccine development, licensure, manufacturing, and recommendations for use; and (11) other matters the Secretary determines necessary.",Actors
B482/3,"(h) Prioritization.--In awarding grants under subsection (a), the Secretary shall give special consideration to eligible entities that have demonstrated a commitment to a targeted campaign to reach communities where the greatest health disparities have been identified with respect to testing access and rates of infections, hospitalizations, and deaths related to COVID-19.",Actors
B482:1,"To require the Secretary of Health and Human Services to award targeted grants to State, Tribal, Territorial, and local health departments or nonprofit organizations in geographic locations with racial and ethnic minorities and other vulnerable populations disproportionately impacted by COVID-19 to disseminate information regarding the safety and efficacy of COVID-19 vaccines, and for other purposes.",Issue
B482-1,"In General.--The Secretary of Health and Human Services (referred to in this section as the ``Secretary''), acting through the Director of the Centers for Disease Control and Prevention and in coordination with the Deputy Assistant Secretary for Minority Health and, as appropriate, with the directors of the relevant Offices of Minority health of the Department of Health and Human Services, the Director of the National Institute on Minority Health and Health Disparities, and the Director of the Indian Health Service, shall award grants to eligible entities to carry out evidence-based campaigns to disseminate COVID-19 vaccination information. (b) Eligible Entities.--To be eligible to receive a grant under this section, an entity shall-(1) be a State, Tribal, Territorial, or local health department, an Urban Indian organization (as defined in section 4 of the Indian Health Care Improvement Act (25 U.S.C. 1603)), a nonprofit community-based organization, or a nonprofit faithbased organization; and (2) submit an application to the Secretary at such time, in such manner, and containing such information as the Secretary may require, including demographic data on the entity's COVID19 vaccine campaign target. (c) Use of Funds.--Entities receiving a grant under this section shall use such grant funds to-(1) create multilingual and culturally appropriate messaging to disseminate scientific and evidence-based information related to COVID-19 vaccines; (2) provide information on where the COVID-19 vaccine can be obtained; (3) target racial and ethnic minority communities; (4) target communities with a COVID-19 Community Vulnerability Index higher than the national average; (5) increase awareness and knowledge of the safety and effectiveness of vaccines approved or authorized by the Food and Drug Administration for the prevention and control of COVID-19 and the benefit of receiving a COVID-19 vaccine; (6) increase awareness and knowledge of COVID-19, including countering stigma associated with COVID-19; (7) address vaccine skepticism in communities of color; (8) address COVID-19 vaccine misinformation; (9) address side effects after COVID-19 vaccination; (10) share information on the processes and policies that lead to vaccine development, licensure, manufacturing, and recommendations for use; and (11) other matters the Secretary determines necessary.",Actors
B531.1,Mrs. MURPHY of Florida introduced the following bill; which was referred to the Committee on Oversight and Reform,Context
